Identifiant_Accident,date,Annee_Accident,Mois_Accident,Jour_Accident,Heure_Minutes_Accident,Departement,Commune,Latitude,Longitude,Localisation,Intersection,Categorie_Route,Régime_Circulation,Amenagement_Infrastructure,Situation_Accident,coord,Metropole
200500000874,2005-01-10,2005,janvier,lundi,1900-01-01 17:00:00,38,38545,0.0,0.0,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500000885,2005-01-22,2005,janvier,samedi,1900-01-01 16:00:00,38,38332,45.346,5.489,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"45.346, 5.489",Autre
200500001117,2005-01-04,2005,janvier,mardi,,67,67345,48.786,7.867,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.786, 7.867",Autre
200500003395,2005-01-08,2005,janvier,samedi,,38,38421,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500003396,2005-01-12,2005,janvier,mercredi,1900-01-01 14:30:00,38,38421,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500003397,2005-01-13,2005,janvier,jeudi,,38,38185,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500003400,2005-01-14,2005,janvier,vendredi,1900-01-01 17:45:00,38,38185,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500003402,2005-01-15,2005,janvier,samedi,1900-01-01 12:25:00,38,38151,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500003405,2005-01-18,2005,janvier,mardi,1900-01-01 12:35:00,38,38516,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Autre
200500003413,2005-01-24,2005,janvier,lundi,,38,38151,0.0,0.0,En agglomération,Hors intersection,Route nationale,A chaussées séparées,Carrefour aménagé,Sur chaussée,"0.0, 0.0",Grenoble
200500003415,2005-01-25,2005,janvier,mardi,,38,38185,0.0,0.0,En agglomération,Intersection en T,Voie Communales,A sens unique,Aucun,Sur piste cyclable,"0.0, 0.0",Grenoble
200500004394,2005-01-10,2005,janvier,lundi,1900-01-01 18:15:00,67,67482,0.0,0.0,En agglomération,Hors intersection,Voie Communales,A sens unique,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500004395,2005-01-10,2005,janvier,lundi,1900-01-01 19:00:00,67,67482,0.0,0.0,En agglomération,Hors intersection,Voie Communales,A sens unique,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500004400,2005-01-13,2005,janvier,jeudi,,67,67482,0.0,0.0,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"0.0, 0.0",Strasbourg
200500004417,2005-01-22,2005,janvier,samedi,1900-01-01 10:05:00,67,67482,0.0,0.0,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500007837,2005-02-10,2005,février,jeudi,1900-01-01 10:50:00,38,38516,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur piste cyclable,"0.0, 0.0",Autre
200500007846,2005-02-18,2005,février,vendredi,1900-01-01 17:30:00,38,38185,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500008538,2005-02-18,2005,février,vendredi,,67,67462,0.0,0.0,En agglomération,Hors intersection,Autre,A chaussées séparées,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500008541,2005-02-01,2005,février,mardi,1900-01-01 14:05:00,67,67482,0.0,0.0,En agglomération,Hors intersection,Parc de stationnement,A sens unique,Aucun,Sur trottoir,"0.0, 0.0",Strasbourg
200500008559,2005-02-10,2005,février,jeudi,1900-01-01 17:55:00,67,67482,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500008567,2005-02-16,2005,février,mercredi,1900-01-01 18:50:00,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"0.0, 0.0",Strasbourg
200500011146,2005-02-09,2005,février,mercredi,1900-01-01 14:45:00,38,38150,0.0,0.0,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500011333,2005-02-24,2005,février,jeudi,1900-01-01 17:45:00,67,67253,48.646,7.528,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"48.646, 7.528",Autre
200500012016,2005-02-23,2005,février,mercredi,,67,67291,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Autre
200500012935,2005-03-25,2005,mars,vendredi,1900-01-01 14:15:00,38,38524,0.0,0.0,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Zone piétonne,Sur chaussée,"0.0, 0.0",Grenoble
200500013839,2005-03-17,2005,mars,jeudi,1900-01-01 15:30:00,38,38249,0.0,0.0,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Autre
200500015238,2005-03-02,2005,mars,mercredi,,38,38151,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500015267,2005-03-30,2005,mars,mercredi,1900-01-01 17:35:00,38,38185,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur piste cyclable,"0.0, 0.0",Grenoble
200500015268,2005-03-30,2005,mars,mercredi,1900-01-01 18:30:00,38,38185,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500015269,2005-03-30,2005,mars,mercredi,1900-01-01 10:00:00,38,38185,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur piste cyclable,"0.0, 0.0",Grenoble
200500016083,2005-03-29,2005,mars,mardi,1900-01-01 16:30:00,67,67462,0.0,0.0,En agglomération,Hors intersection,Route nationale,Bidirectionnelle,Aucun,Aucun,"0.0, 0.0",Strasbourg
200500016093,2005-03-11,2005,mars,vendredi,1900-01-01 14:55:00,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,A sens unique,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500016101,2005-03-16,2005,mars,mercredi,,67,67482,0.0,0.0,En agglomération,Intersection à plus de 4 branches,Voie Communales,A sens unique,Carrefour aménagé,Sur chaussée,"0.0, 0.0",Strasbourg
200500016103,2005-03-17,2005,mars,jeudi,,67,67482,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500016104,2005-03-17,2005,mars,jeudi,1900-01-01 10:15:00,67,67482,0.0,0.0,En agglomération,Hors intersection,Voie Communales,A sens unique,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500016108,2005-03-19,2005,mars,samedi,1900-01-01 11:20:00,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500016111,2005-03-22,2005,mars,mardi,,67,67482,0.0,0.0,En agglomération,Hors intersection,Voie Communales,A chaussées séparées,Pont - autopont,Sur chaussée,"0.0, 0.0",Strasbourg
200500016112,2005-03-22,2005,mars,mardi,1900-01-01 11:20:00,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,A sens unique,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500016115,2005-03-23,2005,mars,mercredi,,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500016120,2005-03-26,2005,mars,samedi,1900-01-01 15:40:00,67,67482,0.0,0.0,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500016125,2005-03-31,2005,mars,jeudi,,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500019614,2005-04-02,2005,avril,samedi,1900-01-01 14:50:00,38,38185,0.0,0.0,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500019635,2005-04-15,2005,avril,vendredi,1900-01-01 15:50:00,38,38421,0.0,0.0,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500019641,2005-04-19,2005,avril,mardi,1900-01-01 20:00:00,38,38185,0.0,0.0,En agglomération,Hors intersection,Voie Communales,A sens unique,Aucun,Sur piste cyclable,"0.0, 0.0",Grenoble
200500019645,2005-04-21,2005,avril,jeudi,1900-01-01 16:30:00,38,38185,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500019648,2005-04-27,2005,avril,mercredi,1900-01-01 23:35:00,38,38185,0.0,0.0,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Grenoble
200500020461,2005-04-01,2005,avril,vendredi,1900-01-01 15:27:00,67,67462,0.0,0.0,En agglomération,Hors intersection,Route nationale,Bidirectionnelle,Aucun,Sur piste cyclable,"0.0, 0.0",Strasbourg
200500020472,2005-04-07,2005,avril,jeudi,1900-01-01 17:00:00,67,67218,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500020474,2005-04-08,2005,avril,vendredi,,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,A chaussées séparées,Carrefour aménagé,Sur chaussée,"0.0, 0.0",Strasbourg
200500020477,2005-04-09,2005,avril,samedi,1900-01-01 10:10:00,67,67482,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500020478,2005-04-11,2005,avril,lundi,1900-01-01 22:35:00,67,67482,0.0,0.0,En agglomération,Intersection à plus de 4 branches,Voie Communales,A sens unique,Carrefour aménagé,Sur chaussée,"0.0, 0.0",Strasbourg
200500020486,2005-04-16,2005,avril,samedi,1900-01-01 12:20:00,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,A sens unique,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500020487,2005-04-18,2005,avril,lundi,1900-01-01 15:10:00,67,67447,0.0,0.0,En agglomération,Intersection en X,Voie Communales,A sens unique,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500020490,2005-04-21,2005,avril,jeudi,,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Carrefour aménagé,Sur piste cyclable,"0.0, 0.0",Strasbourg
200500020493,2005-04-22,2005,avril,vendredi,1900-01-01 15:40:00,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,A sens unique,Carrefour aménagé,Sur chaussée,"0.0, 0.0",Strasbourg
200500020507,2005-04-29,2005,avril,vendredi,1900-01-01 11:35:00,67,67482,0.0,0.0,En agglomération,Hors intersection,Voie Communales,A chaussées séparées,Aucun,Sur piste cyclable,"0.0, 0.0",Strasbourg
200500020508,2005-04-29,2005,avril,vendredi,1900-01-01 13:15:00,67,67482,0.0,0.0,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500020509,2005-04-29,2005,avril,vendredi,1900-01-01 16:30:00,67,67482,0.0,0.0,En agglomération,Intersection en T,Route nationale,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"0.0, 0.0",Strasbourg
200500020510,2005-04-29,2005,avril,vendredi,1900-01-01 18:05:00,67,67043,0.0,0.0,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Strasbourg
200500023607,2005-04-21,2005,avril,jeudi,1900-01-01 15:15:00,38,38182,45.402,5.425,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Aucun,"45.402, 5.425",Autre
200500023818,2005-04-30,2005,avril,samedi,1900-01-01 12:15:00,67,67046,48.773,7.861,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.773, 7.861",Autre
200500023831,2005-04-12,2005,avril,mardi,1900-01-01 21:00:00,67,67097,0.0,0.0,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"0.0, 0.0",Autre
