id,coord,annee_maj,categorie,geometrie,longitude,latitude,code_postal
1489,"45.17402,5.74223",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.74223,45.17402],[5.74132,45.1738],[5.74064,45.17361],[5.7402,45.17351]]}",45.17402,5.74223,38
1490,"45.17272,5.73701",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.73701,45.17272],[5.7361,45.17272],[5.73488,45.17273]]}",45.17272,5.73701,38
1491,"45.17273,5.73488",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.73488,45.17273],[5.73483,45.17273],[5.73481,45.17295],[5.73482,45.1731],[5.73476,45.17315]]}",45.17273,5.73488,38
1492,"45.17315,5.73476",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.73476,45.17315],[5.73452,45.17322],[5.73434,45.17323],[5.73422,45.17321],[5.73396,45.17314],[5.73382,45.17314]]}",45.17315,5.73476,38
1625,"45.20183,5.75957",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.75957,45.20183],[5.76048,45.20253],[5.76125,45.20312]]}",45.20183,5.75957,38
1627,"45.20312,5.76125",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.76125,45.20312],[5.76125,45.20312],[5.76149,45.20321]]}",45.20312,5.76125,38
1628,"45.20965,5.78007",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.78007,45.20965],[5.77986,45.20964],[5.7798,45.20961],[5.77964,45.20956],[5.77917,45.20946],[5.77907,45.20945],[5.77895,45.20943],[5.77867,45.20937],[5.77849,45.20937],[5.77832,45.20938],[5.77823,45.20941],[5.77814,45.20944],[5.77784,45.20943],[5.7773,45.20951]]}",45.20965,5.78007,38
1629,"45.21204,5.79772",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.79772,45.21204],[5.7977,45.21204],[5.7976,45.212],[5.79602,45.21179],[5.79408,45.21153],[5.79365,45.21149],[5.79231,45.21152],[5.79217,45.21152],[5.792,45.21159]]}",45.21204,5.79772,38
1645,"45.18776,5.72354",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.72354,45.18776],[5.72478,45.18783],[5.72563,45.18788],[5.72635,45.18792],[5.72652,45.18798],[5.72657,45.18797],[5.72662,45.18795],[5.72665,45.18793]]}",45.18776,5.72354,38
1923,"45.18719,5.72745",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.72745,45.18719],[5.72705,45.18756],[5.72665,45.18793]]}",45.18719,5.72745,38
1487,"45.18066,5.71931",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71931,45.18066],[5.71887,45.18155],[5.71866,45.18196],[5.71821,45.18297]]}",45.18066,5.71931,38
